Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
BHP,BHP GROUP LTD,Materials,Equity,205756860.62,14.1,205756860.62,6011108,34.23,Australia,Asx - All Markets,USD,1.38,AUD,"Jan 02, 1985"
CBA,COMMONWEALTH BANK OF AUSTRALIA,Financials,Equity,149372845.7,10.23,149372845.7,2026205,73.72,Australia,Asx - All Markets,USD,1.38,AUD,-
CSL,CSL LTD,Health Care,Equity,108168699.45,7.41,108168699.45,568476,190.28,Australia,Asx - All Markets,USD,1.38,AUD,-
NAB,NATIONAL AUSTRALIA BANK LTD,Financials,Equity,85317055.88,5.85,85317055.88,3885617,21.96,Australia,Asx - All Markets,USD,1.38,AUD,-
WBC,WESTPAC BANKING CORPORATION CORP,Financials,Equity,73137705.67,5.01,73137705.67,4356162,16.79,Australia,Asx - All Markets,USD,1.38,AUD,-
ANZ,AUSTRALIA AND NEW ZEALAND BANKING,Financials,Equity,64305745.97,4.41,64305745.97,3347393,19.21,Australia,Asx - All Markets,USD,1.38,AUD,"Jan 01, 1998"
MQG,MACQUARIE GROUP LTD DEF,Financials,Equity,54388232.67,3.73,54388232.67,402416,135.15,Australia,Asx - All Markets,USD,1.38,AUD,-
WES,WESFARMERS LTD,Consumer Discretionary,Equity,48381118.53,3.31,48381118.53,1346346,35.94,Australia,Asx - All Markets,USD,1.38,AUD,-
WOW,WOOLWORTHS GROUP LTD,Consumer Staples,Equity,37028542.34,2.54,37028542.34,1439125,25.73,Australia,Asx - All Markets,USD,1.38,AUD,-
RIO,RIO TINTO LTD,Materials,Equity,35400717.66,2.43,35400717.66,440790,80.31,Australia,Asx - All Markets,USD,1.38,AUD,"Jan 02, 1985"
TCL,TRANSURBAN GROUP STAPLED UNITS,Industrials,Equity,33458090.34,2.29,33458090.34,3645099,9.18,Australia,Asx - All Markets,USD,1.38,AUD,-
GMG,GOODMAN GROUP UNITS,Real Estate,Equity,31558236.3,2.16,31558236.3,1996530,15.81,Australia,Asx - All Markets,USD,1.38,AUD,-
WPL,WOODSIDE PETROLEUM LTD,Energy,Equity,26562105.51,1.82,26562105.51,1151361,23.07,Australia,Asx - All Markets,USD,1.38,AUD,-
FMG,FORTESCUE METALS GROUP LTD,Materials,Equity,26217830.4,1.8,26217830.4,2010815,13.04,Australia,Asx - All Markets,USD,1.38,AUD,-
AUD,AUD CASH,Cash and/or Derivatives,Cash,24916918.53,1.71,24916918.53,34475155,72.28,Australia,-,USD,1.38,AUD,-
STO,SANTOS LTD,Energy,Equity,20848172.29,1.43,20848172.29,3820612,5.46,Australia,Asx - All Markets,USD,1.38,AUD,-
NCM,NEWCREST MINING LTD,Materials,Equity,20300254.34,1.39,20300254.34,1057114,19.2,Australia,Asx - All Markets,USD,1.38,AUD,-
COL,COLES GROUP LTD,Consumer Staples,Equity,20045268.42,1.37,20045268.42,1583936,12.66,Australia,Asx - All Markets,USD,1.38,AUD,-
S32,SOUTH32 LTD,Materials,Equity,19451643.6,1.33,19451643.6,5537732,3.51,Australia,Asx - All Markets,USD,1.38,AUD,-
ALL,ARISTOCRAT LEISURE LTD,Consumer Discretionary,Equity,18309183.48,1.25,18309183.48,715612,25.59,Australia,Asx - All Markets,USD,1.38,AUD,-
JHX,JAMES HARDIE INDUSTRIES CDI PLC,Materials,Equity,16995731.83,1.16,16995731.83,528554,32.16,Australia,Asx - All Markets,USD,1.38,AUD,-
TLS,TELSTRA CORPORATION LTD,Communication,Equity,13878747.96,0.95,13878747.96,4923768,2.82,Australia,Asx - All Markets,USD,1.38,AUD,-
QBE,QBE INSURANCE GROUP LTD,Financials,Equity,13675261,0.94,13675261,1753582,7.8,Australia,Asx - All Markets,USD,1.38,AUD,-
ASX,ASX LTD,Financials,Equity,13441134.32,0.92,13441134.32,229879,58.47,Australia,Asx - All Markets,USD,1.38,AUD,-
SCG,SCENTRE GROUP,Real Estate,Equity,13318736.08,0.91,13318736.08,6163164,2.16,Australia,Asx - All Markets,USD,1.38,AUD,-
SHL,SONIC HEALTHCARE LTD,Health Care,Equity,13143981.02,0.9,13143981.02,541091,24.29,Australia,Asx - All Markets,USD,1.38,AUD,-
COH,COCHLEAR LTD,Health Care,Equity,12338045.53,0.85,12338045.53,78103,157.97,Australia,Asx - All Markets,USD,1.38,AUD,-
BXB,BRAMBLES LTD,Industrials,Equity,12113943.12,0.83,12113943.12,1706813,7.1,Australia,Asx - All Markets,USD,1.38,AUD,-
SUN,SUNCORP GROUP LTD,Financials,Equity,11631591.05,0.8,11631591.05,1499862,7.76,Australia,Asx - All Markets,USD,1.38,AUD,-
XRO,XERO LTD,Information Technology,Equity,10756322.25,0.74,10756322.25,159001,67.65,Australia,Asx - All Markets,USD,1.38,AUD,-
CPU,COMPUTERSHARE,Information Technology,Equity,10296196.36,0.71,10296196.36,645193,15.96,Australia,Asx - All Markets,USD,1.38,AUD,-
NST,NORTHERN STAR RESOURCES LTD,Materials,Equity,10216672.32,0.7,10216672.32,1313739,7.78,Australia,Asx - All Markets,USD,1.38,AUD,-
APA,APA GROUP UNITS,Utilities,Equity,10125951.55,0.69,10125951.55,1401031,7.23,Australia,Asx - All Markets,USD,1.38,AUD,-
DXS,DEXUS STAPLED UNITS,Real Estate,Equity,9802891.25,0.67,9802891.25,1277149,7.68,Australia,Asx - All Markets,USD,1.38,AUD,-
RHC,RAMSAY HEALTH CARE LTD,Health Care,Equity,9695690.6,0.66,9695690.6,217423,44.59,Australia,Asx - All Markets,USD,1.38,AUD,-
TAH,TABCORP HOLDINGS LTD,Consumer Discretionary,Equity,9500564.85,0.65,9500564.85,2634273,3.61,Australia,Asx - All Markets,USD,1.38,AUD,-
IAG,INSURANCE AUSTRALIA GROUP LTD,Financials,Equity,9393128.47,0.64,9393128.47,2927111,3.21,Australia,Asx - All Markets,USD,1.38,AUD,-
ORG,ORIGIN ENERGY LTD,Utilities,Equity,8857310.02,0.61,8857310.02,2091299,4.24,Australia,Asx - All Markets,USD,1.38,AUD,-
SGP,STOCKLAND STAPLED UNITS LTD,Real Estate,Equity,8482255.01,0.58,8482255.01,2834803,2.99,Australia,Asx - All Markets,USD,1.38,AUD,-
MGR,MIRVAC GROUP STAPLED UNITS,Real Estate,Equity,8323733.39,0.57,8323733.39,4681607,1.78,Australia,Asx - All Markets,USD,1.38,AUD,-
SEK,SEEK LTD,Communication,Equity,8232351.76,0.56,8232351.76,399240,20.62,Australia,Asx - All Markets,USD,1.38,AUD,-
BSL,BLUESCOPE STEEL LTD,Materials,Equity,8108313.21,0.56,8108313.21,588599,13.78,Australia,Asx - All Markets,USD,1.38,AUD,-
GPT,GPT GROUP STAPLED UNITS,Real Estate,Equity,8029396.41,0.55,8029396.41,2281213,3.52,Australia,Asx - All Markets,USD,1.38,AUD,-
EDV,ENDEAVOUR GROUP LTD,Consumer Staples,Equity,7988574.32,0.55,7988574.32,1592655,5.02,Australia,Asx - All Markets,USD,1.38,AUD,-
MPL,MEDIBANK PRIVATE LTD,Financials,Equity,7358860.72,0.5,7358860.72,3273875,2.25,Australia,Asx - All Markets,USD,1.38,AUD,-
TWE,TREASURY WINE ESTATES LTD,Consumer Staples,Equity,7270652.98,0.5,7270652.98,857605,8.48,Australia,Asx - All Markets,USD,1.38,AUD,-
EVN,EVOLUTION MINING LTD,Materials,Equity,7053041.33,0.48,7053041.33,2178263,3.24,Australia,Asx - All Markets,USD,1.38,AUD,-
MIN,MINERAL RESOURCES LTD,Materials,Equity,6789318.86,0.47,6789318.86,200635,33.84,Australia,Asx - All Markets,USD,1.38,AUD,-
LLC,LENDLEASE GROUP STAPLED UNITS,Real Estate,Equity,6332167.41,0.43,6332167.41,819571,7.73,Australia,Asx - All Markets,USD,1.38,AUD,-
WTC,WISETECHGLOBAL PTY LTD,Information Technology,Equity,6074516.61,0.42,6074516.61,174083,34.89,Australia,Asx - All Markets,USD,1.38,AUD,-
ALD,AMPOL LTD,Energy,Equity,5922796.93,0.41,5922796.93,283852,20.87,Australia,Asx - All Markets,USD,1.38,AUD,-
REA,REA GROUP LTD,Communication,Equity,5921731.39,0.41,5921731.39,62953,94.07,Australia,Asx - All Markets,USD,1.38,AUD,-
VCX,VICINITY CENTRES,Real Estate,Equity,5847131.71,0.4,5847131.71,4609753,1.27,Australia,Asx - All Markets,USD,1.38,AUD,-
AZJ,AURIZON HOLDINGS LTD,Industrials,Equity,5771999.77,0.4,5771999.77,2194001,2.63,Australia,Asx - All Markets,USD,1.38,AUD,-
IEL,IDP EDUCATION PTY LTDINARY,Consumer Discretionary,Equity,5218225.73,0.36,5218225.73,249050,20.95,Australia,Asx - All Markets,USD,1.38,AUD,-
ORI,ORICA LTD,Materials,Equity,5125815.85,0.35,5125815.85,479520,10.69,Australia,Asx - All Markets,USD,1.38,AUD,-
SOL,WASHINGTON H SOUL PATTINSON & COMP,Energy,Equity,4695590.39,0.32,4695590.39,254778,18.43,Australia,Asx - All Markets,USD,1.38,AUD,-
REH,REECE LTD,Industrials,Equity,4694753.75,0.32,4694753.75,342058,13.73,Australia,Asx - All Markets,USD,1.38,AUD,-
DMP,DOMINOS PIZZA ENTERPRISES LTD,Consumer Discretionary,Equity,4420228.36,0.3,4420228.36,72497,60.97,Australia,Asx - All Markets,USD,1.38,AUD,-
CWN,CROWN RESORTS LTD,Consumer Discretionary,Equity,3924437.05,0.27,3924437.05,438246,8.95,Australia,Asx - All Markets,USD,1.38,AUD,-
QAN,QANTAS AIRWAYS LTD,Industrials,Equity,3859100.41,0.26,3859100.41,1087468,3.55,Australia,Asx - All Markets,USD,1.38,AUD,-
UBFUT,CASH COLLATERAL AUD UBFUT,Cash and/or Derivatives,Cash Collateral and Margins,2168250,0.15,2168250,3000000,72.28,Australia,-,USD,1.38,AUD,"Oct 15, 2015"
EUR,EUR CASH,Cash and/or Derivatives,Cash,34648.86,0,34648.86,31556,109.8,European Union,-,USD,0.91,EUR,-
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,20000,0,20000,20000,1,United States,-,USD,1,USD,-
3357358Z,BGP HOLDINGS PLC - UNLISTED Prvt,Financials,Equity,207.39,0,207.39,18888372,0,Malta,NO MARKET (E.G. UNLISTED),USD,0.91,EUR,-
XPH2,SPI 200 MAR 22,Cash and/or Derivatives,Futures,0,0,26735172.98,207,5166.23,-,Asx - Trade24,USD,1.38,AUD,-
AUD,AUD/USD,Cash and/or Derivatives,FX,-1897.52,0,-1897.52,-641923,1,United States,-,USD,1.38,USD,-
USD,USD CASH,Cash and/or Derivatives,Cash,-221264.1,-0.02,-221264.1,-221264,100,United States,-,USD,1,USD,-
